"longitude","latitude"
8.48547000000002,47.26768
8.45328000000006,47.2772200000001
8.46813000000003,47.3151100000001
8.53639000000004,47.24037
8.44858000000005,47.2968100000001
8.52683000000007,47.2279300000001
8.46003000000007,47.22427
8.42580000000004,47.23499
8.46296000000007,47.2436300000001
8.42631000000006,47.2633000000001
8.40376000000003,47.28209
8.49593000000004,47.24229
8.48998000000006,47.3257400000001
8.47056000000003,47.3417200000001
8.65133000000003,47.65405
8.59702000000004,47.5696300000001
8.62303000000003,47.54801
8.61673000000008,47.6655500000001
8.64740000000006,47.5729000000001
8.64345000000003,47.6930400000001
8.60802000000007,47.5752900000001
8.62824000000006,47.6841400000001
8.68441000000007,47.56402
8.68312000000003,47.5995800000001
8.62776000000002,47.67258
8.64946000000003,47.62586
8.72627000000006,47.61195
8.60464000000007,47.64446
8.75460000000004,47.57811
8.69256000000007,47.6379900000001
8.72745000000003,47.6288900000001
8.62433000000004,47.5741600000001
8.54821000000004,47.50273
8.62883000000005,47.4431000000001
8.56483461600004,47.512622843
8.61811000000006,47.4231600000001
8.52138000000002,47.5763700000001
8.59359000000006,47.5067900000001
8.58135000000004,47.5353500000001
8.50239000000005,47.55888
8.51580000000007,47.5234100000001
8.50995000000006,47.50809
8.49102000000005,47.5957900000001
8.58055000000007,47.4525400000001
8.59404000000006,47.4892800000001
8.64906000000008,47.44708
8.61817000000002,47.4878
8.57398000000006,47.42954
8.53929000000005,47.61089
8.57915000000003,47.5298300000001
8.59341000000006,47.4130500000001
8.47533000000004,47.5879
8.50147000000004,47.60616
8.55237000000005,47.4926300000001
8.44171000000006,47.5262300000001
8.40050000000002,47.4694400000001
8.43976000000004,47.45894
8.43998000000005,47.43971
8.40970000000004,47.44577
8.45882818139041,47.4825989340411
8.38714000000004,47.44606
8.47240000000005,47.51277
8.50150000000002,47.49442
8.48396000000002,47.48123
8.37668000000002,47.5043700000001
8.51939000000004,47.47662
8.40530000000007,47.5008800000001
8.39008000000007,47.4604100000001
8.43648000000007,47.4822100000001
8.46605000000005,47.4309900000001
8.53007000000002,47.4530100000001
8.39732000000004,47.4967500000001
8.41624000000007,47.49976
8.46719000000007,47.52802
8.45031000000006,47.4947300000001
8.43581000000006,47.5583100000001
8.85666000000003,47.33586
